Defense: 13																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
																															
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC93:SetPosFromHike(E0 18)	 2pt	 C8-Move(E6 B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB B4EE:SetPosFromHike(00 18)	 2pt	 C8-Move(CB B9 07)		 D8-MoveAbsolute(18 08)	 D8-MoveAbsolute(18 18)	 F4-Pause(3C)	 F5-Pause(1E 8C)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
LOLB BF03:SetPosFromHike(18 0C)	 2pt	 LoopForward 0D		 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RCB BC56:SetPosFromMid(36 28)	 2pt	 C8-Move(88 B9 02)		 JumpTo B001:MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
LCB B00C:SetPosFromMid(C0 28)	 2pt	 C8-Move(9A B9 03)		 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
FS B8E9:SetPosFromHike(C8 50)	 2pt	 C8-Move(6C B9 04)		 27-JumpTo B904:D8-MoveAbsolute(D0 81)	 JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// F4-Pause(14)	 D8-MoveAbsolute(F4 EC)	 D8-MoveAbsolute(F4 F8)	 F4-Pause(14)	 F5-Pause(50 82)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 															
SS B8AF:SetPosFromHike(18 50)	 2pt	 C8-Move(51 B9 05)		 27-JumpTo B686:C8-Move(51 B9 05)	 MoveRelative(00 C8)	 JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo B046:C8-Move(8E B9 05)	 27-JumpTo B056:D9-MoveAbsolute(C8 F8)	 F4-Pause(6E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// D8-MoveAbsolute(28 00)	 F5-Pause(3C A0)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 														
																															
																															
Defense: 14																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC93:SetPosFromHike(E0 18)	 2pt	 C8-Move(E6 B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB B4EE:SetPosFromHike(00 18)	 2pt	 C8-Move(CB B9 07)		 D8-MoveAbsolute(18 08)	 D8-MoveAbsolute(18 18)	 F4-Pause(3C)	 F5-Pause(1E 8C)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
